"Date","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahrain","Bangladesh","Belarus","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Bulgaria","Cabo Verde","Cameroon","Canada","Central African Republic","Chad","Chile","China","Colombia","Congo (Brazzaville)","Congo (Kinshasa)","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Czechia","Denmark","Djibouti","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eswatini","Ethiopia","Finland","France","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hungary","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Japan","Jordan","Kazakhstan","Kenya","Korea, South","Kosovo","Kuwait","Kyrgyzstan","Latvia","Lebanon","Lesotho","Liberia","Libya","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Mauritania","Mexico","Moldova","Montenegro","Morocco","Mozambique","Namibia","Nepal","Netherlands","Nicaragua","Niger","Nigeria","North Macedonia","Norway","Oman","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Sierra Leone","Singapore","Slovenia","Somalia","South Africa","South Sudan","Spain","Sudan","Suriname","Sweden","Switzerland","Syria","Tajikistan","Togo","Turkey","Uganda","Ukraine","United Arab Emirates","United Kingdom","Uruguay","US","Uzbekistan","Venezuela","West Bank and Gaza","Yemen","Zambia","Zimbabwe"
7.1.20,  28,   3,   8,   2,  44,  10,   0,   0,   7,   5,  41,   6,   7,   0,  78,   2,   0,1038,   2,   0,   0,  28,   0,   0,  65,   0, 136,   4,   5,   1,   0,   1,   0,   0,   1,   1,   7,  49,  81,   8,   0,   0,   0,   0,  18,   0,   0,   0,   5,   5,   0,  44,   0,   0,   1,   2,  45,   1, 434,  58, 141, 107,   2,   2,  21,   4,   0,   0,   1,   0,   2,   4,   5,   0,   0,   0,   1,   1,   0,   0,   2,   2,   0,   0,   0,   0, 741,   4,   0,   0,   0,   0,   1,   2,   0,   0,  13,   4,   1,   9,  78,  14,   2, 183,   4,  14,   3,   2,  16, 215,   1,   0,  49,   4,   4,   0,   0,   0,   0,  92,   0,   9,  30,   0,  37,   2,   0,   0,   0,  19,   0,  15,   1, 176,   1, 673,   0,   3,   0,   6,   6,   0
7.2.20,  61,   7,  16,   4,  78,  16,   0,   0,  15,   7,  79,  13,  14,   0, 148,   3,   0,2290,   2,   0,   0,  50,   0,   0, 232,   0, 307,   4,   6,   2,   0,   3,   0,   4,   1,   1,  18, 112, 167,  17,  19,   0,   0,   0,  32,   0,   0,   0,  16,   5,   0,  70,   0,   0,   2,   5,  94,   2, 813, 111, 289, 217,   2,   4,  51,   5,   0,   0,   4,   0,   5,   5,  15,   0,   1,   0,   1,   2,   0,   0,   4,   2,   0,   1,   1,   0,1420,  15,   0,   1,   0,   0,   2,   5,   0,   1,  26,  19,   1,  12, 156,  36,   2, 368,   8,  29,  11,   5,  36, 362,   1,   0, 103,   9,  10,   0,   0,   0,   0, 187,   0,  13,  30,   0,  78,   2,   0,   0,   0,  36,   0,  27,   2, 265,   1,1371,   1,   6,   1,  13,   6,   0
7.3.20,  73,  10,  25,   5, 130,  26,   0,   0,  22,   8, 121,  20,  18,   0, 197,   5,   0,3580,   9,   0,   0,  72,   1,   0, 363,   0, 443,   7,   9,   2,   2,   5,   0,   4,   1,   1,  28, 173, 248,  28,  19,   2,   0,   1,  50,   2,   0,   0,  20,   5,   0, 107,   0,   1,   2,   5, 108,   3,1255, 160, 443, 319,   4,   6,  66,   5,   1,   0,   6,   1,   6,   6,  15,   0,   1,   0,   1,   3,   1,   0,   6,   2,   0,   1,   1,   0,2074,  27,   1,   2,   0,   0,   3,   7,   0,   1,  38,  26,   1,  17, 156,  67,   2, 549,  14,  44,  22,   8,  57, 538,   1,   0, 153,  13,  21,   2,   0,   0,   0, 295,   0,  30,  32,   0,  87,   2,   1,   0,   0,  55,   0,  54,   3, 401,   1,2010,   3,   8,   3,  23,   6,   0
7.4.20,  80,  12,  34,   6, 174,  34,   0,   0,  28,   9, 150,  26,  24,   0, 255,   5,   0,4671,  11,   1,   0,  82,   1,   0, 504,   0, 608,   7,  12,   2,   4,   6,   0,   2,   1,   1,  39, 242, 327,  36,  19,   2,   0,   1,  50,   2,   0,   0,  30,   5,   0, 147,   1,   1,   2,   8, 132,   4,1868, 213, 591, 425,   5,  10,  87,   5,   1,   0,  11,   1,   9,  11,  17,   0,   1,   0,   1,   3,   1,   0,   9,   3,   0,   1,   2,   0,2597,  35,   2,   4,   1,   0,   5,  13,   0,   1,  44,  32,   1,  27, 224,  89,   3, 735,  24,  49,  29,  10,  80, 705,   1,   0, 209,  17,  29,   2,   0,   0,   2, 369,   0,  30,  36,   1,  87,   2,   1,   0,   1,  75,   0,  70,   6, 468,   1,2257,   5,  11,   5,  25,   6,   1
7.5.20, 118,  14,  40,   6, 200,  41,   2,   1,  37,  10, 205,  31,  24,   0, 311,   5,   0,5273,  16,   2,   0,  89,   1,   0, 620,   0, 730,   7,  12,   3,   6,   6,   0,  -1,   1,   1,  47, 254, 390,  43,  19,   2,   0,   1,  50,   2,   0,   0,  33,  10,   0, 174,   1,   1,   3,   8, 142,   4,2293, 295, 754, 530,   5,  11,  94,   5,   1,   0,  12,   2,  17,  14,  27,   0,   2,   0,   1,   8,   1,   0,  12,   3,   0,   2,   3,   1,2870,  40,   2,   7,   2,   0,   5,  14,   0,   1,  55,  39,   1,  37, 367, 116,   3, 912,  31,  54,  38,  15,  99, 839,   1,   0, 267,  21,  34,   2,   0,   0,   2, 542,   0,  30,  36,   1,  87,   2,   4,   1,   1,  94,   0,  92,   8, 490,   1,2528,   8,  14,   8,  26,   6,   1
7.6.20, 152,  17,  47,   6, 275,  48,   2,   1,  45,  11, 249,  37,  27,   0, 353,  13,   0,5893,  20,   2,   0,  98,   5,   0, 696,   0, 876,   7,  12,   7,   7,   6,   0,   1,   2,   1,  57, 294, 469,  49,  19,   2,   0,   1,  77,   4,   1,   0,  32,  17,   0, 208,   1,   1,   3,   8, 159,   4,2759, 365, 914, 624,   5,  14, 102,   6,   1,  76,  16,   3,  26,  19,  38,   0,   2,   0,   3,  10,   1,   0,  13,   5,   0,   3,   3,   4,3350,  47,   2,   9,   2,   0,   6,  15,   0,   1,  64,  44,   1,  42, 444, 139,   3,1095,  37,  58,  44,  20, 117, 974,   1,   0, 319,  24,  40,   2,   0,   0,   2, 653,   0,  33,  44,   1, 100,   2,   5,   1,   1, 110,   0, 105,   9, 506,   2,2853,  11,  17,   9,  33,   6,   2
7.7.20, 174,  19,  56,   8, 337,  60,   2,   1,  52,  11, 304,  44,  27,   0, 407,  21,   0,7147,  24,   3,  46, 115,   5,   0, 746,   0,1025,   7,  12,   7,   8,   6,   0,   2,   4,   1,  74, 346, 536,  55,  19,   3,   0,   1,  90,   4,   1,   0,  42,  17,   1, 231,   1,   1,   4,  12, 180,   4,3242, 433,1114, 742,   6,  22, 132,   9,   1,  76,  19,   3,  30,  23,  46,   0,   2,   0,   5,  11,   1,   0,  13,   5,   0,   3,   3,   6,4245,  58,   5,  12,   2,   0,   6,  19,   8,   1,  79,  49,   1,  48, 527, 168,   3,1275,  43,  65,  53,  21, 148,1172,   1,   0, 368,  25,  53,   3,   0,   0,   2, 845,   0,  37,  50,   2, 114,   3,   5,   1,   1, 129,   0, 126,  11, 661,   2,4048,  15,  20,  10,  36,  18,   2
7.8.20, 190,  21,  66,   8, 387,  78,   2,   1,  61,  11, 350,  51,  29,   0, 454,  23,   0,8370,  29,   3,  46, 136,   5,   0, 885,   0,1193,  10,  12,   9,  10,   7,   0,   2,   4,   1,  82, 346, 611,  61,  19,   3,  17,   1,  90,   4,   1,   0,  56,  17,   1, 280,   1,   1,   4,  18, 197,   4,3729, 483,1267, 836,   2,  24, 147,  10,   1,  76,  21,   5,  33,  25,  55,   0,   2,   0,   5,  12,   1,   0,  13,  10,   0,   4,   4,  10,5027,  69,   5,  14,   2,   0,   6,  22,   8,   1,  94,  57,   1,  57, 588, 188,   3,1456,  48,  79,  55,  25, 166,1344,   1,   0, 410,  29,  64,   3,   0,   0,   2, 945,   0,  41,  64,   4, 149,   3,   5,   2,   1, 151,   0, 150,  12, 787,   2,4868,  19,  24,  12,  39,  18,   2
7.9.20, 211,  21,  76,   9, 413,  92,   2,   1,  71,  16, 391,  57,  31,   2, 515,  28,   0,9590,  32,   3,  46, 147,   5,   0, 994,   0,1380,  10,  19,   9,  11,   8,   0,   3,   4,   2,  95, 373, 664,  69,  19,   6,  17,   1, 136,   4,   1,   0,  67,  17,   1, 319,   3,   1,   4,  18, 207,   6,4204, 541,1488, 939,   7,  28, 159,  10,   1,  76,  25,   6,  37,  28,  61,   0,   2,   1,   6,  14,   1,   0,  13,  11,   0,   4,   4,  15,5757,  79,   7,  14,   3,   0,   6,  24,   8,   1,  99,  60,   2,  60, 663, 208,   3,1637,  48,  88,  68,  29, 183,1520,   1,   1, 451,  31,  75,   3,   0,   0,   2,1063,   0,  46,  69,   4, 167,   3,   5,   2,   1, 169,   0, 171,  13, 872,   2,5858,  25,  29,  16,  49,  18,   2
7.10.20,  225,   23,   84,   10,  467,  103,    3,    1,   79,   17,  428,   62,   34,    2,  579,   30,    0,10804,   37,    4,   46,  161,    6,    0, 1093,    0, 1591,   10,   19,   10,   13,   10,    0,    3,    4,    2,  117,  412,  749,   75,   19,    7,   21,    1,  161,    4,    1,    0,   73,   23,    1,  366,    4,    2,    4,   30,  253,    8, 4723,  593, 1630, 1017,    8,   31,  171,   10,    1,   76,   33,    6,   45,   29,   64,    0,    2,    1,   11,   14,    1,    0,   14,   17,    0,    4,    5,   17, 6422,   90,    7,   15,    3,    1,    6,   23,    8,    1,  119,   66,    2,   68,  728,  232,    3, 1823,   94,   99,   70,   33,  196, 1694,    1,    1,  502,   33,   93,    3,    0,    0,    2, 1203,    0,   48,   77,    5,  193,    3,    7,    3,    1,  192,    0,  189,   15,  920,    2, 6669,   28,   32,   19,   52,   18,    6
