,YYYY,KL
0,1951,4
1,1952,9
2,1953,3
3,1954,5
4,1955,1
5,1956,3
6,1957,5
7,1958,6
8,1959,2
9,1960,4
10,1961,2
11,1962,13
12,1963,4
13,1964,7
14,1965,6
15,1966,1
16,1967,7
17,1968,4
18,1969,10
19,1970,4
20,1971,11
21,1972,8
22,1973,7
23,1974,13
24,1975,19
25,1976,20
26,1977,7
27,1978,16
28,1979,13
29,1980,6
30,1981,22
31,1982,20
32,1983,11
33,1984,17
34,1985,18
35,1986,11
36,1987,22
37,1988,7
38,1989,7
39,1990,10
40,1991,6
41,1992,33
42,1993,25
43,1994,13
44,1995,24
45,1996,36
46,1997,18
47,1998,26
48,1999,32
49,2000,29
50,2001,28
51,2002,35
52,2003,30
53,2004,24
54,2005,25
55,2006,24
56,2007,26
57,2008,39
58,2009,17
59,2010,39
60,2011,23
61,2012,34
62,2013,24
63,2014,35
64,2015,13
65,2016,29
66,2017,11
67,2018,22
68,2019,24
