,index,Activity,KL,Pct
0,0,Backcountry Tourer,46,32.16783216783217
1,1,Climber,34,23.776223776223777
2,11,Sidecountry Rider,21,14.685314685314685
3,12,Ski Patroller,12,8.391608391608392
4,13,Snowmobiler,9,6.293706293706293
5,2,Hiker,4,2.797202797202797
6,8,Others at Work,4,2.797202797202797
7,4,Inbounds Rider,3,2.097902097902098
8,10,Resident,3,2.097902097902098
9,3,Hunter,1,0.6993006993006993
10,5,Mechanized Guiding Client,1,0.6993006993006993
11,6,Miner,1,0.6993006993006993
12,7,Misc Recreation,1,0.6993006993006993
13,9,Rescuer,1,0.6993006993006993
14,14,Snowplayer,1,0.6993006993006993
15,15,Unknown,1,0.6993006993006993
