,index,Primary Activity,KL,Pct
0,14,Snowmobiler,61,27.727272727272727
1,0,Backcountry Tourer,52,23.636363636363637
2,1,Climber,41,18.636363636363637
3,12,Sidecountry Rider,22,10.0
4,3,Hiker,11,5.0
5,15,Snowplayer,5,2.272727272727273
6,10,Others at Work,5,2.272727272727273
7,8,Misc Recreation,4,1.8181818181818181
8,11,Resident,3,1.3636363636363635
9,5,Inbounds Rider,3,1.3636363636363635
10,13,Ski Patroller,3,1.3636363636363635
11,4,Hunter,3,1.3636363636363635
12,7,Mechanized Guiding Client,2,0.9090909090909091
13,2,Highway Personnel,2,0.9090909090909091
14,9,Motorist,1,0.45454545454545453
15,6,Mechanized Guide,1,0.45454545454545453
16,16,Unknown,1,0.45454545454545453
