,YYYY,ALL,AK,AZ,CA,CO,ID,ME,MT,ND,NH,NM,NV,NY,OR,UT,VT,WA,WY,Maritime,Northeast,Continental
0,1951,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1952,11,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
2,1953,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2
3,1954,5,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1
4,1955,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1956,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2
6,1957,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
7,1958,6,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
8,1959,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9,1960,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,1961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1962,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,9
12,1963,6,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,3
13,1964,7,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,2,4
14,1965,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
15,1966,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2
16,1967,6,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
17,1968,4,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
18,1969,6,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,5,0,1
19,1970,7,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,7
20,1971,12,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6,0,10,0,2
21,1972,7,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,2
22,1973,4,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
23,1974,13,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,3,7,0,6
24,1975,22,3,0,0,8,1,0,1,0,0,0,0,0,1,0,0,6,2,10,0,12
25,1976,21,5,0,4,3,2,0,0,0,0,0,0,0,0,1,0,3,3,12,0,9
26,1977,6,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3
27,1978,18,6,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,5
28,1979,10,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,2,4,0,6
29,1980,6,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,4
30,1981,23,0,0,1,4,1,0,1,0,0,1,1,0,0,2,0,12,0,14,0,9
31,1982,18,2,0,8,4,0,0,0,0,1,0,0,0,2,1,0,0,0,12,1,5
32,1983,14,0,0,1,5,2,0,3,0,0,0,0,0,0,0,0,3,0,4,0,10
